NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING,longitude,latitude,AGE,PUBLICATION_YEAR
1.82618595953135,7.03799757437363,15.5636185427475,51.8205914696227,0.133373131875885,0.615568300965624,12.4549986228711,0.646346716013905,0.235967848703489,9.66535183329475,14.0608943572766,326.660578677702,141.944730475909,43.0139219627549,53.5926722829835,445.372054488127,279.88339304365,16.6791562715538,40.4444794561041,0.650283074391566,5.8058694639866,12.5107812050448,1.78749974381712,8.58298837323874,2.41390235491181,0.809629490103952,2.72549080293455,0.441774430978422,2.82396275495123,0.590244575820278,1.64439270420731,1.65478561434624,0.259166252832791,1.10374160076855,0.047396114237856,0.915109372746083,BACK-ARC_BASIN,179.286,-34.675,,2021
3.604,6.863,16.74,49.02,0.3197,0.7228,10.68,1.63,0.1631,9.04299,12.9,236.9,182.3,,66.6,162.4,235.3,33.4,145.3,16.7,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,169.518,-18.128,,2017
3.49,5.28,18.37,48.08,0.72,2.18,8.51,1.97,0.16,,20.9,255.0,159.0,,,346.0,551.0,46.2,161.0,39.1,32.7,49.5,6.36,28.0,5.68,1.99,6.27,1.02,6.07,1.32,3.94,3.77,0.57,3.56,2.89,2.9,BACK-ARC_BASIN,136.378,30.347,,2009
2.82,5.53,16.0,50.2,0.26,0.29,12.31,1.63,0.16,,3.0,,59.0,,48.0,31.0,189.0,39.0,123.0,1.0,5.0,16.0,,,,,,,,,,,,,,,BACK-ARC_BASIN,136.057,28.9833,,1980
2.09,9.11,16.61,49.12,0.09,0.09,13.09,1.14,0.16,8.55,2.22,225.0,323.0,39.7,113.0,15.5,110.0,20.7,70.3,1.42,2.27,7.31,1.33,6.99,2.26,0.852,3.12,0.573,3.63,0.788,2.21,2.11,0.323,1.83,0.109,0.125,BACK-ARC_BASIN,-176.17,-15.04,,2012
2.73,6.37,16.65,51.84,,0.38,11.57,1.07,,,6.2,218.0,399.0,39.4,209.0,87.0,206.0,21.3,75.6,3.74,5.8,13.32,2.02,9.49,2.65,0.95,3.15,0.56,3.51,0.74,2.11,2.07,0.32,1.89,0.226,0.56,BACK-ARC_BASIN,143.05,21.83,,2005; 1990
2.43,6.35,15.67,50.4,0.1,0.14,12.03,1.58,0.18,,2.5,282.0,134.0,39.0,56.0,35.0,108.0,,,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,173.419,-18.2268,,1991
3.09,7.19,16.24,50.7,0.13,0.18,11.04,1.33,0.13,,1.0,,41.0,,40.0,49.0,187.0,27.0,102.0,1.0,,13.0,,,,,,,,,,,,,,,BACK-ARC_BASIN,-177.862,-18.568,,1994
2.65,8.5,17.04,50.27,0.1,0.12,11.66,1.1,0.15,8.3,1.0,,148.0,,90.0,50.0,183.0,23.0,84.0,1.0,,6.0,,,,,,,,,,,,,,,BACK-ARC_BASIN,-177.856,-18.5675,,1994
2.88,6.26,15.6,50.0,0.14,0.27,10.9,1.26,0.17,,3.85,229.0,283.0,37.3,73.3,48.6,173.0,30.6,108.0,6.59,5.6,14.7,2.2,11.3,3.55,1.26,4.29,0.76,5.31,1.18,3.19,3.1,0.455,2.62,0.42,0.55,BACK-ARC_BASIN,115.047,12.9196,,2018
