NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING,longitude,latitude,AGE,PUBLICATION_YEAR
3.82,7.3,15.2,50.24,0.51,2.03,7.6,1.88,0.16,,43.0,,270.0,44.0,140.0,650.0,660.0,25.0,200.0,,34.7,60.4,,26.3,5.91,1.97,,0.85,,,,2.27,,5.19,3.0,4.94,Continental arc,130.0,33.25,CENOZOIC,1989
2.38,8.79,18.05,50.25,0.15,0.68,11.08,0.78,0.15,7.64,19.19,241.86,249.0,,104.3,203.8,352.36,20.58,57.6,2.7,,,,,,,,,,,,,,,,,Continental arc,140.225,42.78,,2011
4.16,7.65,16.0,51.0,0.59,1.45,8.1,1.52,0.14,7.98,18.8,215.0,265.0,,170.0,420.0,1125.0,25.0,200.0,17.0,30.5,64.0,,33.0,,1.85,,,4.3,,2.6,2.15,,,,,Continental arc,167.5,61.75,PLIOCENE,1997
2.46,5.34,16.98,52.6,0.68,3.84,9.48,0.93,0.15,7.43,115.0,247.0,40.0,21.0,30.0,1828.0,846.0,26.0,172.0,38.0,60.0,122.0,14.4,50.0,10.1,2.6,8.4,1.2,5.9,1.0,2.7,2.3,0.35,4.5,1.8,18.7,Continental arc,15.215,38.799,HOLOCENE,2014
2.37,5.2,18.4,50.29,0.23,0.97,9.64,0.86,0.2,9.22,19.0,,,,,196.0,620.0,,,,,,,,,,,,,,,,,,,,Continental arc,8.65,40.4,MIOCENE,1975
3.68431713023086,4.51459971746258,18.6333621394351,52.079203141426,0.216724537072403,1.28748229557624,8.12766494509429,1.03711102672091,0.136566146648364,7.45,21.7,209.1,0.0,31.0,9.1,306.6,714.2,20.7,99.3,11.3,14.3,23.3,5.10437933561883,17.4,3.89890411867355,1.33723439302874,2.84845172763421,0.498184123139567,3.46749488383252,0.655738064764942,2.10663189277048,2.06684857458385,0.290980371772084,7.3,0.576446177182035,21.8,Continental arc,27.17,36.57,,
1.97,5.49,17.98,51.98,0.09,0.28,9.73,0.8,0.19,9.98,6.1,,,39.6,20.8,102.0,247.0,26.4,45.9,1.47,6.63,14.1,2.29,11.2,3.31,1.11,4.33,0.74,4.72,1.0,2.95,2.7,0.414,1.44,0.081,0.171,Continental arc,140.46,38.125,,
1.96,7.88,16.96,51.4,0.08,0.1,10.41,0.78,0.17,9.4,1.66,265.96,,,,60.7,289.0,13.4,27.9,1.21,2.25,6.21,0.96,5.0,1.43,0.642,1.88,0.348,2.1,0.458,1.27,1.36,0.193,0.75,0.064,0.227,Continental arc,140.98,39.88,QUATERNARY,2015
2.89,5.05,15.3,52.6,0.47,1.67,7.93,2.12,0.16,,,276.5,380.0,,204.0,,344.5,,,,,,,,,,,,,,,,,,,,Continental arc,130.25,33.25,,2005
2.38,6.35,17.87,48.7,0.49,1.88,11.95,0.89,0.15,8.05,55.0,259.0,36.0,33.0,37.0,848.0,721.0,25.0,141.0,15.0,42.0,84.0,9.9,39.0,7.9,2.2,6.4,0.92,4.88,0.88,2.21,2.19,0.31,3.2,1.03,11.9,Continental arc,15.21,38.79,,2012
3.04,5.09,18.58,48.92,0.22,1.28,10.13,1.27,0.19,11.16,25.2,450.0,30.0,,,414.0,519.0,21.1,74.0,3.0,10.6,23.6,3.32,14.5,3.68,1.27,4.29,0.63,3.81,0.78,2.41,2.07,0.34,2.0,0.2,2.13,Continental arc,113.67,-8.18,HOLOCENE,
3.74,4.9,13.47,52.56,0.34,0.24,3.17,2.61,0.15,,6.5,,,,,407.0,257.0,,,,36.7,80.6,,43.4,9.78,2.88,9.59,,8.39,,3.83,2.86,0.364,,,,Continental arc,138.75,36.0,PERMIAN,1977; 1979
4.05,7.51,14.68,47.29,0.78,1.13,9.15,2.55,0.16,9.45,24.0,208.0,260.0,41.0,170.0,755.0,826.0,,,,50.3,99.2,,44.1,8.5,2.58,,1.05,,,,1.77,0.25,5.4,,16.7,Continental arc,-1.15,37.67,NEOGENE,1986
